name,score,funding,investors,employees,industries,business_model,location,outsource,contact,_id
Bryter,60,$73.0M Series B,4,101 - 251,Manufacturing,b2b saas,"Berlin, Germany","Hiring, Marketing, Software Engineering, Cybersecurity, B...",b**s@bryter.io,66f64c33cf7a21b145e9d2ac
Insempra,60,$35.0M Series A,5,11 - 51,Manufacturing,b2b,"Munich, Germany","Marketing, Software Engineering, Marketing, Branding, Man...",,66f64c33cf7a21b145e9d2ad
Enpal,60,$875M Series D,9,251 - 501,Manufacturing,b2b b2c,"Berlin, Germany","Cybersecurity, Branding, Management Consulting, Sales, Hi...",a**********s@enpal.de,66f64c33cf7a21b145e9d2ae
Volocopter,56,$648M Unknown,1,11 - 51,Manufacturing,b2b,"Munich, Germany","Cybersecurity, Branding, Management Consulting, Sales, Hi...",d*******e@volocopter.com,66f64c33cf7a21b145e9d2af
Sunfire,56,$402M Series E,8,251 - 501,Manufacturing,b2b,"Dresden, Germany","Cybersecurity, Branding, Management Consulting, Sales, Hi...",f*************i@sunfire.de,66f64c33cf7a21b145e9d2b0
Daedalus,56,$32.6M Series A,4,51 - 101,Manufacturing,b2b,"Karlsruhe, Germany","Marketing, Software Engineering, Marketing, Branding, Man...",j***s@daedalus.de,66f64c33cf7a21b145e9d2b1
Quantica,53,$21.5M Series A,2,11 - 51,Manufacturing,b2b,"Berlin, Germany","Marketing, Software Engineering, Marketing, Branding, Man...",c***s@q3d.io,66f64c33cf7a21b145e9d2b2
The Exploration Company,52,$51.3M Series A,4,11 - 51,Manufacturing,b2b,"Munich, Germany","Hiring, Marketing, Software Engineering, Cybersecurity, B...",h****e@exploration.space,66f64c33cf7a21b145e9d2b3
Robco – The Robot Company,52,$60.0M Series B,5,51 - 1001,Manufacturing,b2b,"Munich, Germany","Hiring, Marketing, Software Engineering, Cybersecurity, B...",,66f64c33cf7a21b145e9d2b4
Evum Motors,52,$55.2M Series B,3,101 - 251,Manufacturing,b2b,"Munich, Germany","Marketing, Software Engineering, Marketing, Branding, Man...",s***r@evum-motors.com,66f64c33cf7a21b145e9d2b5
Infarm,52,$200M Unknown,8,201 - 500,Manufacturing,b2b,"Berlin, Germany","Design, Software Engineering, Marketing, Hiring",e**z@infarm.com,66f64c33cf7a21b145e9d2b6
KoRo,52,$29.3M Series B,3,101 - 251,Manufacturing,b2c,"Berlin, Germany","Marketing, Software Engineering, Marketing, Branding, Man...",c****s@korodrogerie.de,66f64c33cf7a21b145e9d2b7
H2 Mobility,50,$121M Unknown,1,11 - 51,Manufacturing,b2b,"Berlin, Germany","Cybersecurity, Branding, Management Consulting, Sales, Hi...",j**g@h2-mobility.de,66f64c33cf7a21b145e9d2b8
