name,funding,investors,employees,location
Bryter,73000000.0,4.0,101 - 251,"Berlin, Germany"
Insempra,35000000.0,5.0,11 - 51,"Munich, Germany"
Enpal,875000000.0,9.0,251 - 501,"Berlin, Germany"
Volocopter,648000000.0,1.0,11 - 51,"Munich, Germany"
Sunfire,402000000.0,8.0,251 - 501,"Dresden, Germany"
Daedalus,32600000.0,4.0,51 - 101,"Karlsruhe, Germany"
Quantica,21500000.0,2.0,11 - 51,"Berlin, Germany"
The Exploration Company,51300000.0,4.0,11 - 51,"Munich, Germany"
Robco – The Robot Company,60000000.0,5.0,51 - 1001,"Munich, Germany"
Evum Motors,55200000.0,3.0,101 - 251,"Munich, Germany"
Infarm,200000000.0,8.0,201 - 500,"Berlin, Germany"
KoRo,29300000.0,3.0,101 - 251,"Berlin, Germany"
H2 Mobility,121000000.0,1.0,11 - 51,"Berlin, Germany"
EMnify,65800000.0,N/A,101 - 251,"Berlin, Germany"
AMSilk,27200000.0,1.0,11 - 51,"Munich, Germany"
Planet A Foods (formerly QOA),21900000.0,4.0,1 - 11,"Munich, Germany"
Formo,111000000.0,11.0,51 - 200,"Berlin, Germany"
Ninox (company),11700000.0,2.0,11 - 50,"Berlin, Germany"
scoutbee,72000000.0,3.0,51 - 200,"Würzburg, Germany"
Celus,27300000.0,3.0,51 - 101,"Munich, Germany"
Formel Skin,40000000.0,4.0,51 - 101,"Berlin, Germany"
instagrid,137000000.0,4.0,101 - 251,"Stuttgart, Germany"
Reverion,70500000.0,7.0,51 - 200,"Munich, Germany"
Marvel Fusion,30400000.0,1.0,11 - 51,"Munich, Germany"
Wandelbots,135000000.0,8.0,101 - 251,"Dresden, Germany"
The Mobility House,101000000.0,1.0,101 - 251,"Munich, Germany"
Sono Motors,117000000.0,1.0,251 - 501,"Munich, Germany"
Ionity,785000000.0,1.0,101 - 251,"Munich, Germany"
DyeMansion,31000000.0,3.0,51 - 101,"Munich, Germany"
Project Eaden,8500000.0,2.0,1 - 11,"Berlin, Germany"
Sewts,8199999.999999999,5.0,11 - 51,"Munich, Germany"
Phelas,5200000.0,3.0,11 - 51,"Munich, Germany"
Spread,18900000.0,3.0,51 - 101,"Berlin, Germany"
Next Matter,20000000.0,3.0,11 - 51,"Berlin, Germany"
CNC24,8500000.0,5.0,11 - 51,"Berlin, Germany"
Dance,17200000.0,6.0,51 - 101,"Berlin, Germany"
Arculus,20500000.0,3.0,101 - 251,"Munich, Germany"
Inuru,10300000.0,4.0,11 - 51,"Berlin, Germany"
Planet A Foods,15400000.0,4.0,11 - 51,"Munich, Germany"
MakerVerse,10200000.0,1.0,11 - 51,"Berlin, Germany"
Sunhero,14700000.0,3.0,51 - 101,"Berlin, Germany"
Tado°,92900000.0,N/A,101 - 251,"Munich, Germany"
Lemmo,10000000.0,2.0,11 - 51,"Berlin, Germany"
Dive,10000000.0,4.0,11 - 51,"Berlin, Germany"
unu motors,21800000.0,2.0,101 - 251,"Berlin, Germany"
remberg,14700000.0,4.0,11 - 51,"Munich, Germany"
German Bionic,32100000.0,5.0,51 - 101,"Augsburg, Germany"
fruitcore robotics,44200000.0,3.0,101 - 251,"Stuttgart, Germany"
Traceless materials,39000000.0,4.0,11 - 51,"Hamburg, Germany"
Software Defined Automation,10000000.0,3.0,11 - 51,"Munich, Germany"
Nimmsta,5000000.0,1.0,11 - 51,"Munich, Germany"
Quantum Diamonds,7700000.0,4.0,1 - 11,"Munich, Germany"
Workerbase,10000000.0,4.0,11 - 51,"Munich, Germany"
Blickfeld,12500000.0,7.0,101 - 251,"Munich, Germany"
Hyperganic,9400000.0,2.0,11 - 51,"Munich, Germany"
Hololight,12000000.0,3.0,51 - 101,"Munich, Germany"
Customcells,63000000.0,3.0,51 - 200,"Hamburg, Germany"
Orcan Energy,27200000.0,1.0,11 - 51,"Munich, Germany"
VoltStorage,30900000.0,2.0,51 - 101,"Munich, Germany"
CMBlu Energy AG,105000000.0,1.0,101 - 251,"Frankfurt, Germany"
Emergence Therapeutics,99300000.0,2.0,1 - 11,"Duisburg, Germany"
gitti,3500000.0,3.0,11 - 51,"Berlin, Germany"
Vanilla Steel,4000000.0,1.0,11 - 51,"Berlin, Germany"
DeepDrive,54400000.0,3.0,51 - 200,"Munich, Germany"
Abalos Therapeutics,63000000.0,3.0,11 - 51,"Essen, Germany"
Kewazo,7800000.0,1.0,11 - 51,"Munich, Germany"
CryoTherapeutics,10800000.0,4.0,1 - 11,"Potsdam, Germany"
Everdrop,21800000.0,3.0,51 - 101,"Munich, Germany"
